Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
574 Invest by SNCF,https://574invest.com,France,france,"3. Early Revenue,4. Scaling","We invest in mobility, industry 4.0 and environmental startups to help SNCF group deliver on its purpose and to boost the growth of the mobility ecosystem, while protecting our planet. ",Corporate VC,$500000,$5000000
1337 Ventures,https://1337.ventures/,"C-19-08, KL Trillion, 50400, Kuala Lumpur, Malaysia ","malaysia,vietnam,philippines,thailand","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in ideation and early stage startups that are looking to serve ASEAN markets. ,VC,$2500,$50000
2048 Ventures,https://www.2048.vc/,"New York, NY 10001, USA","usa,canada","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in pre-seed / smaller seed rounds as lead, and write $300-$600K checks. 
 
First and foremost, we always want to meet exceptional founders with a compelling vision and strong founder-market-fit, regardless of the industry they are building in.
 
We look for companies that are differentiated and defensible through data and technology.
 
Business models we like: API/Data Platforms, Marketplaces/Networks, B2B Vertical SaaS, Consumer Subscription with science/technology edge.
 
Sectors we gravitate towards: Anything API first, bio/genomics, digital health, frontier tech (preferably software/enablement layer, but would do hardware too), sustainability, AI/ML applications, fintech, femtech, eldertech, VR/AR. ",VC,$300000,$600000
2150,https://www.2150.vc/,"London, UK","uk,usa,denmark,finland,germany,france,sweden,spain","4. Scaling,3. Early Revenue,5. Growth","We invest in technology companies that seek to sustainably reimagine and reshape the urban environment. 2150’s investment thesis focuses on major unsolved problems across what it calls the ‘Urban Stack’, which comprises every element of the built environment, from the way our cities are designed, constructed and powered, to the way people live, work and are cared for.
",VC,$1000000,$7000000
A-Venture,https://a-venture.eu/en/,33 avenue Foch 75116 Paris,"france,luxembourg,germany","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in French, Luxembourgish and German startups, operating in the environment, mobility and hospitality sectors.",VC,$30000,$1000000
Abstraction Capital,https://abstraction.vc,"9237 Ward Parkway, Kansas City, MO",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed and seed rounds for companies building products in the developer tool and cloud infrastructure space.,VC,$50000,$400000
Acronym Venture Capital,https://acronymvc.com/,"16590 Germaine Dr, Delray Beach, FL 33446","usa,canada","3. Early Revenue,4. Scaling","We invest in Late Seed and Series A venture capital financing rounds of software/internet/tech companies. We invest primarily into Enterprise Saas companies, Fintech, Hospitality Tech, Real Estate / PropTech, Workflow Tech, E-commerce, and Omni Channel Consumer Brands. Companies must have at least $1m in ARR. ",VC,$350000,$3000000
Active Impact Investments,https://www.activeimpactinvestments.com/,"402-106 West 1st Street,  North Vancouver, BC  V7M 2E7, Canada","usa,canada","4. Scaling,3. Early Revenue","We invest in seed stage companies companies facilitating the transition from finite to infinite sources of energy, food, water & products. ",VC,$500000,$1500000
Acton Capital,https://actoncapital.com/,"Widenmayerstrasse 29, Munich, 80538, DE","germany,uk,sweden,canada,france,spain,usa","3. Early Revenue,4. Scaling,5. Growth",We invest with a clear focus on tech-enabled business models throughout Europe and North America – B2C or B2B – around Series A/B.,VC,$3000000,$12000000
Adelie Capital,https://adelie.vc/,"8 place de l'Opéra, 75009 Paris, France","france,uk,germany,switzerland,spain,italy,belgium","3. Early Revenue,4. Scaling,5. Growth","We invest in fast-growing European tech companies powered by ambitious teams and with a great potential for scalability. We are sector agnostic: we believe in entrepreneurs, the explorers of the 21st century.",VC,$500000,$3000000
Aescuvest,https://www.aescuvest.eu/,"Hanauer Landstraße 328, 60314 Frankfurt am Main, Germany","germany,israel,austria,belgium,bulgaria,croatia,czech republic,denmark,sweden,finland,france,greece,hungary,ireland,norway,spain,portugal,ukraine,uk,switzerland",3. Early Revenue,"We invest in medical breakthrough innovations in the areas of: digital drug, digital device and digital detection and diagnosis.",VC,$1000000,$5000000
Aglae Ventures by Groupe Arnault,http://aglaeventures.com/,"22 Avenue Montaigne, Paris, Île-de-France 75008, France","france,usa,israel,canada","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in asset light and well-defined business models with high potential for scalability : 
- Marketplaces 
- Software (SaaS)
- Content platforms : social networks, communication platform, streaming
- Dev & App tools 
- Digital native brands ",Corporate VC,$100000,$100000000
Airbridge Equity Partners,https://airbridge.nl/,"Amstelplein 48, Amsterdam, Noord-Holland 1096BE, The Netherlands",netherlands,3. Early Revenue,"We invest in companies that have proven their commercial traction with locked-in revenue. We provide growth capital as well as replacements and have the ability to service a cap table over time.
Our ticket size varies from EUR 1m - 5m initially with the ability to stay active over time.

As an Amsterdam-based investment firm, we support firms with their HQ and a significant portion of their operations in Europe, regardless of whether they end up venturing outside of it.

We especially focus on companies with competitively defensible positions in B2B or B2C value chains in growing markets with a long-term outlook.",VC,$1200000,$6000000
Aletra Capital Partners,https://aletracapitalpartners.com/,"Leemzeulder 14, 1251 AP Laren, Netherlands","singapore,netherlands,canada,usa","3. Early Revenue,4. Scaling,5. Growth",We invest in B2B enterprise/software/medtech companies. The venture should have initial revenue/product market fit (ARR> USD 1Mln) and the potential to scale globally.,VC,$250000,$2500000
Alfabeat,https://alfabeat.com/,"Norwida 4, 80-280 Gdańsk, Poland","poland,estonia,latvia,lithuania,czech republic,slovakia,hungary,croatia,romania,bulgaria,slovenia",3. Early Revenue,"We invest in seed Enterprise Software companies from Central and Eastern Europe  with a proven track-record of helping founders raise subsequent rounds, backed by successful Enterprise Software founders who built companies worth over $50B.",VC,$250000,$1000000
All Blue Capital,https://www.allbluecapital.com/,"Shepherd Market, London, Mayfair W1J7JY, GB","canada,usa,uk,ireland,japan,china","3. Early Revenue,5. Growth,6. Pre-IPO","We invest in founders first. We search out great people, in emerging sectors who have disruptive ideas.",VC,$500000,$100000000
Almi Invest,https://www.almi.se/en/in-english/,"Stockholm, Sweden",sweden,3. Early Revenue,"We invest in Swedish startups (not older than 7 years) that can take a position on the global market

Tech: Enterprise and Consumer Software, Mediatech, Data & Security, eCommerce, Fintech, VR/AR, IoT, Gaming, HR Tech

Life Science: Medtech, Drug Development, eHealth

 

Cleantech: Renewable Energy, Energy, Recycling Systems

Industry: Industrial Equipment, Materials, Agritech, 3D-printing

How much can Almi Invest invest?

Almi Invest invests SEK 1-10 million per company.  

Our national GreenTech fund invests SEK 5-30 million in GreenTech companies that focus on reducing CO2. 

We are always minority owners.",VC,$120000,$1200000
Alpaca VC,https://alpaca.vc/,"505 5th Ave, 22nd Floor, New York, NY, 10017","usa,canada","3. Early Revenue,2. Prototype,1. Idea or Patent,4. Scaling","We invest in Seed rounds in companies reshaping the real world. We prefer to lead. 

We believe that layering technology over daily life transforms how the real world works. So we invest in the people, products and processes that power commerce in the physical world. Together with founders, we kickstart real change with outsized impact. ",VC,$500000,$1300000
Alsace Business Angels,http://www.alsacebusinessangels.com/,"9 Boulevard Gonthier d'Andernach, Illkirch-Graffenstaden, Alsace / Bas-Rhin 67400, FR",france,"2. Prototype,3. Early Revenue,4. Scaling",We invest in Alsace based startups ,Angel network,$60000,$200000
Alstin Capital,https://www.alstincapital.de/,"Maximilianstr. 34, 80539 München","austria,belgium,denmark,estonia,czech republic,finland,france,germany,greece,iceland,ireland,italy,latvia,liechtenstein,luxembourg,lithuania,netherlands,norway,poland,portugal,spain,switzerland,ukraine,israel,uk,romania,hungary,slovakia,serbia","4. Scaling,5. Growth","We invest in rapidly growing technology companies that have the potential to leverage the significant market potential of the future and become market leaders. We do not solely invest in convincing technology, but above all in the entrepreneurs behind the technology. We support our entrepreneurs with capital and know-how so that they can grow faster and more successfully. The basis of our investment is the conviction that entrepreneurial know-how, long-term transaction experience, international networks, and commercial excellence are the success factors for long-term growth. ",VC,$1200000,$5980000
Altamira,https://altamira.pl/en/,"ul. Orla 6B/2  00-143 Warsaw, Poland",poland,3. Early Revenue,"We do not invest in start-ups, ie. we do not invest at pre-seed or seed stages

No revenue – no investment

We do not invest in internet ventures

We do not invest in majority shareholdings

We do not invest more than PLN 6 million or less than PLN 2 million

We do not invest for a quick profit (investment period 3-7 years)

We do not invest outside Poland",VC,$500000,$1500000
Alter Equity,https://www.alter-equity.com/,"23 Rue Danielle Casanova, 75001 Paris",france,"3. Early Revenue,4. Scaling","We invest in companies whose activity contributes to resolving environmental challenges (energy efficiency and transition, circular economy, recycling, air, water and soil quality, green chemistry, organic products, biodiversity, etc.) or social challenges (education, training, employability, culture, services to vulnerable people, health, well-being, organic products, fair-trade, etc.) and commit to an ESG business plan which is an action plan to promote more responsible social, environmental and governance practices.

We invest in companies having realised at least €800k revenue over the last 12 months.

We take a Minority or majority stakes, from €1m to €30m.",VC,$1000000,$30000000
Alven,https://www.alven.co/,"124 rue Réaumur, Paris, Ile de France 75002, FR","france,usa,belgium,germany,netherlands,sweden,denmark,finland,italy,spain,portugal,poland,estonia","3. Early Revenue,4. Scaling,2. Prototype","We invest in software-enabled startups based in Europe or in the US, looking to define or create a category.",VC,$500000,$15000000
American Family Ventures,https://www.amfamventures.com/,"821 E Washington Avenue, Madison, WI 53703","usa,canada,uk,france,india","2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in startups focused on the future of insurance from pre-seed to Series B,VC,$500000,$10000000
AMG Block,https://www.amgblock.com/,"Av Revolucion 1267, Mexico City, Mexico City 01010, MX","mexico,colombia,peru,chile,argentina","2. Prototype,3. Early Revenue",We invest in fintech companies in Mexico and spanish-speaking Latin America.,VC,$50000,$250000
Amplitude Ventures,https://amplitudevc.com/en,"Espace CDPQ 3, Place Ville-Marie Suite 12350 Montreal, QC H3B 0E7","canada,usa,uk","2. Prototype,4. Scaling,5. Growth,6. Pre-IPO",We invest in promising healthcare companies that share our vision of bringing groundbreaking technologies to patients. Amplitude is focused on building world-class Canadian companies (and companies associated with Canadian talent and IP) in precision medicine and next-generation medical devices.,VC,$1000000,$15000000
Anaxago,https://www.anaxago.com/,"18 rue Sainte-Foy, 75002, Paris","france,belgium,spain,portugal,uk,italy,germany,luxembourg","4. Scaling,5. Growth,3. Early Revenue","We invest in Healthcare (Medtech or Biotech), Proptech and Fintech companies with at least 40k€ MRR (excl. Biotech).",VC,$500000,$3000000
AnD Ventures,https://www.and-ventures.com/,"Arik Einstein St 3, Herzliya, Israel",israel,"3. Early Revenue,4. Scaling","We invest in early-stage Israel-based/Israeli-led startups developing innovative and technologically advanced solutions, validated by our broad enterprise network.",VC,$500000,$2000000
Angels Bay Invest,https://angelsbay.net/,"c/o Data ScienceTech Institute Les Templiers 950 Route des Colles, Sophia-Antipolis 06410 Biot, France",france,"2. Prototype,3. Early Revenue,4. Scaling","We invest in young innovative French start-ups with an international ambition. We are looking for companies, mainly in B2B, which are solving key issues for businesses, environnement, or the society. We invest from $70k to $150k at early stage.",Angel network,$70000,$150000
Angelsquare Capital,https://angelsquare.co/capital/,90 Rue Notre Dame de Nazareth 75003 Paris,france,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in pre-seed and seed stages - all sectors, focused on French Entrepreneurs :)
We can leverage our tickets with our serial-BAs network through a SPV",Angel network,$50000,$500000
Angular Ventures,https://www.angularventures.com/,"4 Hashla Street, Tel Aviv Yafo, Tel Aviv 6228304, IL","israel,uk,germany,france,netherlands,spain,sweden,ireland,austria,estonia,romania,poland,belgium,croatia,greece,norway,slovakia,serbia,slovenia","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in early-stage Enterprise, B2B or deep tech founders.",VC,$250000,$2000000
Anthill Ventures,https://anthillventures.com/,"18 Cross Street #02-101 Office S2077, Singapore 048423","india,singapore","3. Early Revenue,4. Scaling,5. Growth","We invest in companies that are at an early stage and we help in scaling start-ups using the unique network of channel partners we have. We invest in companies in the Health, Urban Consumer and Urban Tech start-up who have a pre revenue stage.",VC,$500000,$10000000
Antler,https://www.antler.co/,"79 Anson Rd, #20-1, Central Business District, Singapore 07, SG","usa,singapore,australia,india,germany,china,netherlands,sweden,norway,uk,denmark,kenya","2. Prototype,1. Idea or Patent",We invest in pre-revenue startups.,VC,$100000,$100000
Aonia Ventures,http://www.aonia.vc/,"3 ruelle des templiers, 1207 GENEVA","france,canada,germany,uk","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in tech companies all over the world, in early-stage with tickets from $150k to $300k",VC,$150000,$300000
Arali Ventures,https://araliventures.in/,"3rd floor, excubator Building, 19th Main, HSR, Bangalore ","usa,india,singapore,norway","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Indian origin/ indian founder startups at prototype stage solving enterprise problems using new-age tech,VC,$500000,$1000000
Arc Ventures,https://arc-vc.com/,"655 3rd Ave, New York, NY 10017, United States",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue,6. Pre-IPO","We invest in US-based Enterprise SaaS, deep-tech, fin-tech, and prop-tech companies.",VC,$500000,$2500000
Arrebol Capital,https://arrebolcap.com/,"Los Gatos, CA, USA","colombia,brazil,mexico,argentina,chile,peru,uruguay","3. Early Revenue,4. Scaling","We invest in seed stage / series A startups using technology to target the LatAm market. Our main areas of focus are Fintech and Logistics, but we also invest in other verticals where there is empiric evidence of market fit and a proven business model in other geographies.",VC,$25000,$250000
Artesian,https://www.artesianinvest.com/overview-vc,"66 Hunter St, Sydney, New South Wales 2000, AU","australia,china,new zealand,indonesia,singapore","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in startups operating in Australia, New Zealand, South East Asia, and China.

Artesian trusts in math, not magic. We recognize there are multiple paths to startup success. Capital-lite startups exiting to corporates at <$250M are as important to our investment strategy as $1B+ unicorns targeting world domination.
 
Artesian invests in software and hardware startups with an overweight exposure (~50% of total FUM) in 4 key sectors: Agrifood, Clean Energy, MedTech, and AI/Robotics. We also provide our Venture Capital as a Service platform to corporations, industry groups, family offices, and government organizations.

Although Artesian is the region’s most active early-stage VC investor (>500 startup investments), we are equally active in late-stage VC investments as any of our traditional VC peers.",VC,$50000,$1000000
Asif Ventures,https://asif.ventures/,"STARTUP VILLAGE, SCIENCE PARK 608, 1098 XH Amsterdam, Netherlands",netherlands,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Dutch-based students and recent graduate startups. ,VC,$25000,$100000
Astella Investimentos,http://astellainvest.com/,"R. Prof. Artur Ramos 241, São Paulo-SP, Brazil",brazil,"3. Early Revenue,4. Scaling",We invest in Brazil-based entrepreneurs building technology startups.  ,VC,$500000,$5000000
Aster Capital,https://www.aster.com/,"26 Avenue de l'Opéra, Paris, 75001, FR","usa,israel,france,italy","3. Early Revenue,4. Scaling",We invest in Mobility - Industry 4.0 - B2B SaaS,VC,$500000,$5000000
Astorya,http://astorya.vc/,"Rue de Washington, Paris, Ile de France 75008, FR","france,germany,uk,spain,belgium,netherlands,poland,czech republic,estonia,ukraine,portugal,italy,greece,ireland,norway,sweden,denmark,finland,latvia,lithuania,belarus,slovakia,slovenia,hungary,romania,bulgaria,croatia,switzerland,san marino,liechtenstein","3. Early Revenue,1. Idea or Patent,2. Prototype",We invest in insurance-related technologies in Europe to help you get to market faster. #insurtech #fintech #digitalhealth #cybersecurity #mobility #smartcities,VC,$120000,$300000
Atento Capital,https://www.atentocapital.com/,"107 N Boulder Ave Ste. A, Tulsa, OK 74103, United States",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Pre-Seed, Seed, and A software companies in Tulsa, Oklahoma, and Series A, B, and C software companies, as well as Seed and A funds not in Tulsa, with the intention of helping them expand to Tulsa.",VC,$250000,$3000000
Atlantic Labs,https://www.atlanticlabs.de/,"Rosenthalter Str. 13, Berlin, 10119, Germany","germany,austria,switzerland,sweden","3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in mission-driven founders in Europe.,VC,$300000,$1000000
Atlas Ventures (Singapore),http://atlas.ventures/,"80 Raffles Place, #57-01, Singapore, Singapore 048624, SG","singapore,thailand,vietnam,philippines,malaysia,indonesia,usa,israel,australia","3. Early Revenue,4. Scaling","We invest in startups within fast-growing, overlooked verticals and geographies. Currently, we're focused on cybersecurity, ecommerce enablers, interactive/ new media, and startups looking to digitize traditional industries.",VC,$500000,$5000000
Augmentum Fintech,https://augmentum.vc/,4 Chiswell Street,"albania,andorra,austria,belarus,belgium,bosnia-h,bulgaria,croatia,cyprus,czech republic,denmark,estonia,finland,france,georgia,germany,greece,hungary,iceland,ireland,italy,latvia,liechtenstein,lithuania,luxembourg,malta,moldova,monaco,montenegro,netherlands,north macedonia,norway,poland,portugal,romania,san marino,serbia,slovakia,slovenia,spain,sweden,switzerland,uk,ukraine","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in European fintech companies at Series A and beyond.,VC,$2000000,$14000000
AVP AXA Venture Partners,https://www.axavp.com/,"9 Place de la Madeleine, 75008, Paris, France","france,usa,uk,israel,canada,germany,spain,portugal,switzerland,norway,finland,sweden,luxembourg,belgium,netherlands,italy,poland,latvia,estonia,ireland,austria,hungary,czech republic,greece","3. Early Revenue,4. Scaling,5. Growth","We invest in software companies (Enterprise software, Digital Health, Fintech, Insurtech, B2C marketplaces) that are typically at Series A stage or above. 

We are a cross-stage and cross-border fund with ticket sizes ranging from US$2m to $50m. 

Our teams are based in London, Paris, New York, San Francisco, and Hong Kong and we invest in the EU, the UK, the US, and Israel.",VC,$3000000,$50000000
AWS Gründerfonds,http://www.gruenderfonds.at/en/,"Walcherstraße 11A 1020 Wien, Austria",austria,"3. Early Revenue,4. Scaling","We invest in companies headquartered in Austria 
No revenues required, max. EUR 10m 
Less than 50 employees 
Founders must hold equity stakes in the company of at least 25 %  
The company was founded up to 6 years ago respectively first sales were generated no more than 6 years ago. In this case, the following size criteria are reduced to 70 % of the above-mentioned figures: number of employees, turnover, balance sheet total
Management team with strong execution skills 
Highly scalable business model with clearly recognisable benefit to the customer and documented proof of concept or proof of market 
Target market with considerable volume and high growth potential 
Investment amount between EUR 100,000 and EUR 3m (flexible contract structures) 
For mezzanine investments: the company already generates revenues in its core business

We do not invest in:
Companies without enough risk commitment of the founders 
Reorganisations and restructurings 
Companies with trend-based revenues or unclear USP 
Some business models in the area of financing, lending and insurance – to be discussed in detail with the company
Heavy industry companies​

We do ​Later Seed financing
Series-A and Series-B financing for high-growth start-ups",Public fund,$100000,$1000000
Axilor Ventures,http://axilor.com/,"No. 739, 15th Cross, 6th Phase JP Nagar, Sarakki, Bangalore, Karnataka 560078, India",india,"2. Prototype,3. Early Revenue","We invest in early-stage startups in India. We focus on Enterprise and Consumer software, Deep tech, Fintech and Healthtech",VC,$200000,$500000
Iterative Venture,https://www.iterativeventure.com/,USA,usa,"3. Early Revenue,4. Scaling",We invest in post-revenue US startups. ,Angel network,$100000,$250000
Backed VC,https://www.backed.vc/,"8 Printing House Yard, London, England E2 7PR, GB",uk,"2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent","We invest in founders over markets, so we're mostly sector-agnostic. Investors like to fantasize about the future, but founders forge it. That’s why we’ve followed some of Europe’s boldest entrepreneurs to every frontier from Cellular Agriculture to next-gen Popular Entertainment. We also believe you are your company’s most important asset. This is especially true at Seed. Even at the edges of DeepTech, the people you hire and the culture you foster will disproportionately define your future success. That’s why we focus on helping our founders scale as leaders.",VC,$250000,$3000000
Bailador Technology Investments,https://bailador.com.au/,"20 Bond Street, Suite 3, Level 20, Sydney, NSW 2000, Australia",australia,5. Growth,"We invest in businesses within the technology sector that are seeking growth stage investment. 
Companies we invest in typically share the following characteristics:

2-6 years of operation
Run by the Founders
Proven business model with attractive KPIs
International revenue generation
We focus on 
eCommerce, subscription-based internet businesses, online marketplaces, software, SaaS, high value data, online education, telecommunication applications and services.",VC,$2000000,$4000000
Bankinter VC,https://www.fundacionbankinter.org/en/startups/,"Paseo de la Castellana 29, Madrid, Spain","spain,portugal,ireland","3. Early Revenue,4. Scaling","We invest in Series A rounds from companies based in the countries where the bank has activity (Spain, Portugal, Ireland..).",VC,$500000,$1500000
BCF Ventures,https://bcfventures.vc/,"1100 Boulevard René-Lévesque O, Montréal, Québec CA","canada,usa,israel","3. Early Revenue,4. Scaling","We invest in B2B Cloud & SaaS Enterprise startups leveraging the power of Artificial Intelligence, Big Data, Analytics and Security. While we invest across industries, we have special attention to Finance, Healthcare, Education, Logistics & Supply Chain, Advanced Manufacturing, Transportation, and Aerospace.

We are passionate about disruptive technologies and the business opportunities that these create. We are looking for innovation pioneers challenging the status quo in traditional sectors, or dramatically improving legacy processes. The companies we fund must have some type of key science or technological innovation leading to the development of intellectual property rights.",Corporate VC,$50000,$1000000
BCVP Bull City Venture Partners,https://www.bcvp.com,201 West Main Street Suite 100 PMB 205  Durham NC 27701,usa,"3. Early Revenue,4. Scaling,5. Growth,2. Prototype","We invest in Software, Internet, Mobile, Health IT and E-Commerce 

We are located in Durham, North Carolina. Because of that, most of the activity we see is in the Southeast and Mid-Atlantic regions. But we will consider any great entrepreneur.

We are seed and early-stage investors and often that means we are the first institutional investor. But when there is an exceptional opportunity, we will be opportunistic and invest in growth-stage companies. ",VC,$100000,$5000000
Beacon Capital (UK),https://www.beaconcapital.co.uk/,"London, England W2 6BD , GB","uk,portugal,spain,france,italy,germany,belgium,ireland,austria,bulgaria,croatia,czech republic,denmark,estonia,finland,greece,hungary,latvia,lithuania,netherlands,norway,poland,romania,russia,ukraine,monaco,luxembourg,cyprus,malta","2. Prototype,3. Early Revenue",We invest in post-Seed / pre-Series A B2B tech startups in Europe.,VC,$300000,$1200000
Begin Capital,https://www.begincl.com/,"London, UK","usa,uk,germany,france,spain,netherlands,belgium,poland,italy,austria,ireland,sweden,finland,denmark,czech republic,norway,switzerland,hungary,latvia,estonia,lithuania,canada,ukraine","3. Early Revenue,4. Scaling,5. Growth","We invest in experienced founders with bold ideas, proven hypothesis and first revenue.",VC,$200000,$3000000
Better Ventures,https://www.better.vc/,"470 25th St, Oakland, CA, 94612",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in pre-seed/seed mission-driven founders leveraging breakthrough science and technology in climate/sustainability, digital health, and education/workforce development. We invest in software, data science, and life sciences, primarily B2B models, and look for technical founders/teams.",VC,$500000,$1000000
BGV Benhamou Global Ventures,https://benhamouglobalventures.com/,"540 Cowper Street, Palo Alto, CA 94301, United States","usa,france,israel,india",3. Early Revenue,"We invest in Enterprise 4.0, a next generation of Enterprise Software, which are combining 3 main elements: AI, intelligent automation and unique data set. We are 100% focused on cross-border investments, investing in companies that are conceived outside the US and helping them position themselves in the US. Main focus: Future of Work, Vertical AI platforms (focusing on 1 industry such as retail, manufacturing, logistics, insurtech or focusing on 1 function such as Customer Sucess, Sales, etc), e-commerce, DevOps, Cybersecurity",VC,$250000,$5000000
BGV Bethnal Green Ventures,https://bethnalgreenventures.com,"20-30 Whitechapel Road, London E1 1EW, UK",uk,"3. Early Revenue,2. Prototype",We invest in ambitious teams using technology to tackle social and environmental problems and drive positive outcomes for people and planet at scale. ,VC,$42000,$140000
BIP Capital,https://www.bip-capital.com/,"3575 Piedmont Road NE, Building 15 Suite 730, Atlanta, Georgia 30305, USA","usa,canada","3. Early Revenue,4. Scaling","We invest at seed and Series A in B2B SaaS, Healthcare IT, Fintech, Digital Media and Entertainment, Developer Tools, and Frontier Tech startups.

At Seed, we like companies to have launched a product, have some users and early revenue.

At Series A we like companies doing $750k+ in ARR.",VC,$100000,$10000000
