Name,Location,Type,Website,Amount (up to EUR),Description / Eligibility,Website Domain
Vienna Business Agency,Austria,Grant,https://viennabusinessagency.at/funding/programs/,200.0,"Energy-saving funding
Support for small companies that implement sustainable measures to save energy and/or increase energy efficiency.

Funding rate: 60%, maximum funding amount: 20.000 euros per operating site, minimum project value: 1.000 euros, max. project duration: 1 year

Time frame to submit applications: 2023/02/01 to 2023/12/31

TIP!
One Person Enterprises - NEW
Support for OPEs (One-Person Enterprises) shifting their company’s strategic direction.

Funding rate: 60%, max. funding amount: 10.000 euros per project; minimum project value: 1.000 euros; max. project duration: 1 year

Time frame to submit applications: 2022/01/01 to 2023/12/31

TIP!
Tech4People
Support for R&D projects focusing on digital solutions that centre people.

Funding rate: Small companies 45%, medium-sized companies 35%, large companies 25%, research institutions (as partners) 80%, max. funding amount: €500,000 per project, minimum project value: €50,000, 15% cooparation bonus possible, women’s bonus: €10,000

Time frame to submit applications: 2023/04/05 to 2023/07/31

TIP!
Subway construction immediate help
Immediate help for businesses in the ground floor zone affected by subway construction

Funding rate: 50%; max. funding amount: €10,000 per year for rental costs; implementation of initiative projects: funding rate 80%, max. funding amount €7,000 per year. Applications for both types of funding may be submitted simultaneously.

Time frame to submit applications: 2018/11/01 to 2026/12/31

Business Revival Now!
Funding of the revitalisation of vacant ground-floor commercial premises.

Funding rate: 50% , max. funding amount: 25,000 euros per project location, no minimum investment required

Time frame to submit applications: 2023/01/01 to 2023/12/31

Next deadline: 2023/08/31
more: 2023/10/31, 2023/12/31

creative_pioneer
Supporting company founders and entrepreneurs in the creative industries with sector experience

Funding rate: 60 %, max. funding amount: € 50 000 bonus: + € 2000 women's bonus; Minimum project value: € 10 000

Time frame to submit applications: 2018/01/01 to 2023/12/31

Next deadline: 2023/07/31
more: 2023/11/30

creative_project
Support and funding for companies in the creative industries in developing new, sustainable products and services

Funding rate: 50%; Max. funding amount: €150,000; Women’s bonus: €5,000; Minimum project value: €10,000

Time frame to submit applications: 2018/01/01 to 2023/12/31

Next deadline: 2023/08/31
more: 2023/12/31

creative_to market
Support for marketing and sales measures by existing companies in the creative industries

Funding rate: 50%; Max. funding amount: € 50,000; Women’s bonus: € 2,000; Minimum project value: € 5,000

Time frame to submit applications: 2018/01/01 to 2023/12/31

Next deadline: 2023/07/31
more: 2023/11/30

Grätzelinitiative Ottakring
Supporting local businesses in Ottakring         

Funding rate: 50%, max. funding amount 10,000 euros per year, minimum project value: 500 euros

Time frame to submit applications: 2022/10/01 to 2024/12/31

Innovation
Support for innovative services, products, procedures and organisational processes

Funding rate: Small companies up to 45%, medium-sized companies up to 35%; Max. funding amount: €200,000 per project; Women’s bonus: €5,000; Max. project duration: 2 years; Minimum project value: €30,000

Time frame to submit applications: 2018/01/01 to 2023/12/31

Next deadline: 2023/09/30
more: 2023/12/31

Page1 Page2 Page3 nextPage",viennabusinessagency.at/funding/programs/
AAL Programme,Belgium,Grant,https://www.aal-europe.eu/,20.0,"AAL will stress three elements, namely an inclusive health & care approach (health prevention, preservation of physical & mental health, social participation), the stimulation and upscaling of innovation in active & healthy ageing through health & care eco-systems and the accessibility of digital solutions to end users, e.g through education for greater e-literacy.",aal-europe.eu/
BioVox Belgium Innovation Grants,Belgium,Grant,https://biovox.eu/innovation-grants/,250.0,"BioVox Belgium Innovation Grants are available for Belgian life sciences startups and SMEs that are developing innovative products, technologies, or services in the fields of human and animal health.",biovox.eu/innovation-grants/
ECSEL,Belgium,Grant,https://www.kdt-ju.europa.eu/what-we-do,,"The Key Digital Technologies Joint Undertaking - the Public-Private Partnership for research, development and innovation – funds projects for assuring world-class expertise in these key enabling technologies, essential for Europe's competitive leadership in the era of the digital economy. KDT JU is the successor to the ECSEL JU programme, supporting its ongoing projects.

Through the KDT JU, European industry, SMEs and Research and Technology Organisations (RTOs) - represented by industry associations - are supported and co-financed by the KDT Participating States and the European Union.

Learn more about the role of the Industry Associations

KDT JU launches annual Calls for Proposals for research, development and innovation projects. You can find information about open Calls, and about projects that were selected from previous Calls, on the respective pages.",kdt-ju.europa.eu/what-we-do
EUREKA Network Projects,Belgium,"Grant,Government ",https://www.eurekanetwork.org/countries/france/network-projects/funding,3000000.0,"Provide access to public funding

Through the ministry or funding agency in your country, we give you access to public funding for your R&D projects.

Drive international collaboration

We can help you find international partners, build your ideal project consortium and choose the best programme.

Boost expansion into new markets

We will support you as you access new markets by providing tools and advice for expansion.

Offer personalised advice

The Eureka contact in your country can advise, support and guide you from the development of your project idea to its commercialisation.",eurekanetwork.org/countries/france/network-projects/funding
Hub Award,Belgium,Award,https://hub.brussels/fr/,5.0,"Les hub.awards, ce sont six prix : Start, Rise, Invest, Export ainsi qu’un Prix du public et un Prix du Jury. Ils ont été pensés pour permettre à toutes les entreprises bruxelloises de poser leur candidature, qu’importe leur taille et leur secteur d’activités. L’unique condition pour espérer être lauréat est de démontrer un impact positif sur la société d’un point de vue économique, social et environnemental. Chaque entreprise lauréate s’est vue remettre 5.000 euros pour le développement de ses activités et bénéficiera également d’une visibilité médiatique sur les canaux de Bruzz et BX1.",hub.brussels/fr/
Innovative Starters Award,Belgium,Award,https://innoviris.brussels/program/innovative-starters-award,500.0,"You are a small unlisted company.
Your company was founded no more than five years ago.
You did not take over the activities of another company or are not a spin-off.
You have your head office in the BCR, where you develop the company’s activities.
You’ve never won an ISA award (Rise)",innoviris.brussels/program/innovative-starters-award
PARSEC Accelerator,Belgium,Grant,https://parsec-accelerator.eu/about/,2500000.0,"PARSEC is a business accelerator supporting the creation of new Earth Observation (EO) based products and services. The accelerator targets SMEs, start-ups, entrepreneurs and researchers who want to have an impact on the emerging Food, Energy and Environment sectors. With the support of PARSEC, their ideas will be developed into solutions fuelled by the benefits of EO.

The holistic two-stage acceleration programme will distribute a total of €2.5 Million equity-free funding to 100 beneficiaries, alongside other key resources (coaching, matchmaking, promotion) needed to develop and launch 15 new products and services into the global market. PARSEC will also provide a suite of Business Catalysts for transforming data into market-ready services. The first Open Call for applications, held between September 2019 and January 2020, resulted in 100 winners – #100PARSEC – accessing the first stage. The second Open Call, including the PARSEC Demo Days pitch competition, was held between March and July 2020 and selected 15 winning teams of 2-3 SMEs – #15PARSEC. These SMEs are further working on their solutions during the second stage of PARSEC. The acceleration programme will conclude in October 2021.

The PARSEC Accelerator is funded by the “Horizon 2020” Research and Innovation programme of the European Union.",parsec-accelerator.eu/about/
Start-it @KBC,Belgium,Grant,https://startit-accelerate.com/en/,100.0,"Early-stage startups in any sector, including healthcare and life sciences.",startit-accelerate.com/en/
VLAIO,Belgium,Grant,https://www.vlaio.be/en/subsidies/research-project/eligibility-requirements-research-project-grant,3000000.0,"Subsidies and financing measures for the entrepreneur
With the most important support measures from the provincial, Flemish, federal and European governments
For entrepreneurs active in the Flemish Region (both in main and secondary occupation unless stated otherwise)
New in the Subsidy Database! Make a customized selection and send to yourself, colleague or customer: use the filters and then only check the measures relevant to your project.    Projects 

applying for funding amounting to at least €100,000 and up to €3,000,000 
with adequate information in the application document to start the evaluation, including the substantiated business case 
with a brief description of both the project and the impact; where the maximum number of pages is subject to the following strict limits: 
project description: maximum of 40 pages 
impact: maximum of 10 pages + 5 additional pages per additional business partner (subcontractors do not count) 
for example: for a project with 2 business partners, the project description is limited to 40 pages, and the impact to 15 pages. 
in principle with a maximum duration of 3 years (unless specific motivation is provided) 
starting at the earliest on the first of the month following the submission 
the application is prepared in 1 language: either Dutch or English 
each applicant has cumulatively been allocated no more than €8,000,000 in funding in the current calendar year (or €12,000,000 if projects are based on a partnership with SMEs or an (international) partnership) ",vlaio.be/en/subsidies/research-project/eligibility-requirements-research-project-grant
Waarborgregeling,Belgium,Loan,https://www.vlaio.be/nl/subsidies-financiering/subsidiedatabank/waarborgregeling-tot-eu-15-miljoen,1500000.0,"SMEs and large companies (including non-profit organizations with economic activity) that cannot conclude a financing agreement due to a lack of sufficient guarantees, can have up to 75% of the commitments guaranteed by the Flemish government at 'financial institutions recognized as guarantee holder'. This up to a maximum amount of € 1.5 million. This arrangement also applies to certain leasing contracts.",vlaio.be/nl/subsidies-financiering/subsidiedatabank/waarborgregeling-tot-eu-15-miljoen
BeNeLux Catalyst,"Belgium,Netherlands,Luxembourg",Accelerator,https://beneluxcatalyst.com/,,"Are you a founder from Belgium, The Netherlands or Luxembourg, looking to set clear international goals for your business and grow your business abroad? 

The BeNeLux Catalyst is a no-equity accelerator program for high-growth tech startups working together to kick start their international growth.  During an intense two weeks, we will work with local experts, mentors and peers to validate your plans and fill in the blanks. ",beneluxcatalyst.com/
Czech Invest,Czech Republic,"Government ,Grant",https://www.czechinvest.org/en/For-Startups,,"Show us what makes you exceptional. We will show you the path that your business can take.
We are CzechInvest. We support start-ups and innovative entrepreneurs who bring forth new ideas, concepts and technologies. We are aware of their importance for economic development and the growth of the Czech economy, and we strive to give them the necessary support.

We accompany startups on the path of doing business. We help them in the early phases of their development, with introduction of initial prototypes to the market, with formulating a proper sales strategy, with addressing domestic and foreign partners, customers and investors, and with establishing branches around the world.

Our ecosystem comprises not only hundreds of startups, but also experts at home and abroad.",czechinvest.org/en/For-Startups
Hack the Crisis,Czech Republic,"Government ,Grant",https://www.czechinvest.org/en/For-Startups/Other-activities/Hack-the-Crisis-Czech-Republic,125.0,"Hack the Crisis! With this motto, we launched the biggest and longest state-sponsored hackathon in the history of the Czech Republic in April 2020. We thus ranked among the countries, such as Poland, Estonia and Germany, that decided to fight against the coronavirus pandemic. The winning projects shared prize money in the amount of CZK 10 million, which Hyundai donated to the competition.

Hack the Crisis Czech Republic was a two-month virtual hackathon organised by CzechInvest together with the Ministry of Industry and Trade in spring 2020 during the first wave of the global coronavirus pandemic. Its purpose was to coordinate the needs of the state with the energy and volunteering found in the IT community and the business environment and to thus support the implementation of relevant projects that can provide assistance in the crisis situation or mitigate its impacts. A total of 206 projects were entered in the hackathon in the course of its duration. Over fifty partners from the public and private sectors also took part in the event. Free mentoring was provided by more than 130 experts in various fields.

Thanks to unique cooperation between the public, private and academic spheres, it was possible to provide assistance to 108 projects, of which the expert jury selected the best fifteen. Those projects’ representatives advanced to the final and battled for overall supremacy and financial awards on 22 June 2020.

Of the fifteen finalists, the largest number of projects (ten in total) were focused on the field of healthcare. These included LAM-X (active nanofiltres against  COVID-19), CoroVent, COVIDI, Daruju Krev, Diana Biotechnologies, MedRec AI, Oxygenerátor, a portable device for medical diagnostics, the Virtual Lab application and Virus Deflector. Four projects – namely FreMEn, Grey Cortex, Hunter Games and Kaleido – addressed social issues and the related topics of awareness, communication, isolation, security and logistics. The fifteenth finalist was the Corrency project in the area of economics.",czechinvest.org/en/For-Startups/Other-activities/Hack-the-Crisis-Czech-Republic
INI Prague,Czech Republic,Incubator,https://www.iniprague.com/incubation,42.0,"The incubator operates under the auspices of i&i Prague. It provides a program for the development and technology transfer of biotechnology research to the commercial environment. We aim to support innovation in the Drug Discovery, Diagnostics, MedTech and other Life Science fields. We are your new team member, leading your journey from groundbreaking invention to market-storming product.",iniprague.com/incubation
Itaca,Czech Republic,"Accelerator,Grant",http://itaca.cz/,30.0,"We offer 6 weeks of intensive work through our incubational program:
No need to share equity, coworking space and travel costs covered by the program, 30+ mentors and the DemoDay at the end of the program.",itaca.cz/
Technology Agency,Czech Republic,"Government ,Grant",https://www.tacr.cz/,,"The Technology Agency of the Czech Republic operates the programme ZETA to support applied research for young researchers. The Agency provides opportunities also in other programmes and calls from technical as well as social and humanities fields.
The programme focuses on supporting cooperation between academia and companies by putting together students of MA and doctorate study programmes at universities and young research workers aged up to 35. Even if the programme is not directly linked to start-ups, it can be beneficial also for young entrepreneurs and their research colleagues in the innovation and applied research spheres which are important for technology and digital start-ups. ",tacr.cz/
Young Agririan,Czech Republic,"Government ,Grant",https://www.szif.cz/cs/prv2014-611,45.0,The Czech Republic has a tradition of supporting young agricultural entrepreneurs. In 2015-2020 support for young agrarian entrepreneurs is being provided via EU funding for persons interested in starting their entrepreneur activity in agriculture up to 40 years of age. The maximum subsidy is up to 45 000 EUR.,szif.cz/cs/prv2014-611
Danmarks Erhvervsfremmebestyrelse,Denmark,Grant,https://erhvervsfremmebestyrelsen.dk/hvem-kan-soege-midler,18000000.0,"The investment plan describes the board's overall expectations for:

What the board's grant funds will be used for in 2023.
How the board will invest its funds.
When the board will invest its funds.
In 2023, Denmark's Business Promotion Board will invest approx. 900 million The funds come from the new EU programs for 2021-2027 and from the Finance Act.

Focus in 2023
The efforts must meet the companies' current needs and opportunities and be simple, recognizable and coherent.

In its investments in 2023, the board will particularly focus on:

Positions of strength, including local business lighthouses and tourism
Digital and green transition in SMEs
Entrepreneurship
The focus of this year's investment plan has been designed with strategic sparring from the business houses' boards.

",erhvervsfremmebestyrelsen.dk/hvem-kan-soege-midler
InnoBoster,Denmark,Grant,http://innovationsfonden.dk/en/programmes/innobooster,650.0,"Innovation Fund Denmark (InnovationsFonden) is a government-backed institution that invests in entrepreneurs and startups that develop innovative ideas to solve important social challenges in Denmark.

Since 2020 the fund invested DKK 2.2BN in 2,500 companies.

Over 5,000 startups apply each year for funding. Small and medium companies (SMEs) as well as new startups can apply for the grant. To be eligible, your company must meet the following requirements;

Less than 250 employees
Less than EUR 50M revenue (or a balance sheet of less than EUR 43M)
Also, your business must:

Have raised at least DKK 100,000 over the last 3 years; or
Have at least DKK 250,000 annual gross profit in the last fiscal year
How much can you get?
Successful applicants can obtain a grant funding anywhere from DKK 50,000 to DKK 5 million.",innovationsfonden.dk/en/programmes/innobooster
InnoExplorer,Denmark,Grant,http://innovationsfonden.dk/en/programmes/innoexplorer,200.0,"Innoexplorer is another of Innovationsfonden’s 3 grant programs for startups and entrepreneurs, yet less famous than the other 2.

Innoexplorer funds project that need experimental, market or technical research to assess their commercial and/or societal potential. These projects must be conducted by entrepreneurs who are researchers, or any employees of public research and educational and health institutions.

The funding covers the expenses for the employees’ salaries other expenses related to the project (overheads, materials, etc.).

Who is it for?
To apply you must:

Be employed at a Danish research, education or health institution and conduct research related to your employment
Have already produced knowledge reports and research results that could potentially be used for commercialisation purposes
How much can you get?
Successful applicants can obtain a grant funding anywhere from DKK 500,000 to DKK 1.5 million.",innovationsfonden.dk/en/programmes/innoexplorer
InnoFounder,Denmark,Grant,http://innovationsfonden.dk/en/programmes/innofounder,13.5,"Innofounder is Innovationsfonden’s 3rd grant, and another of Denmark’s top government grant program for startups.

The grant is actually more than a simple grant funding. Instead, successful applicants can benefit from a 12-month incubation program for entrepreneurs where they receive an income whilst they develop their business idea.

The program includes workshops and mentoring sessions as well as access to external investors.

Who is it for?
Innofounder is very inclusive. In order to apply, you must have completed an academic degree (Master or equivalent). Students are also accepted as long as they complete their education before the program starts.

Also, if you already have a company, it must have been incorporated no more than 3 years ago.

How much can you get?
Successful applicants can obtain a grant funding in the form of a monthly allowance income (DKK 27,500) as well as a one-off DKK 100,000 grant paid at the beginning of the course.",innovationsfonden.dk/en/programmes/innofounder
SMV Digital,Denmark,Grant,http://smvdigital.dk/content/,33.5,"Backed by Denmark government’s Strategy for Denmark’s Digital Growth, SMV:Digital is a grant program that aims to promote digitalisation and ecommerce solutions amongst SMEs.

Beyond funding, the grant program offers companies courses, workshops and mentoring.

Who is it for?
Virtually any company that qualify as a SME can apply. This means your business must meet the following requirements:

Have less than 250 employees
Have less than EUR 50M revenue (or a balance sheet of less than EUR 43M)
How much can you get?
The amount of funding ranges from DKK 25,000 to DKK 250,000 depending on a number of criteria (see the full list here).",smvdigital.dk/content/
SMV Gron,Denmark,Grant,http://virksomhedsprogrammet.dk/content/ydelser/smvgroen/bab6c5de-d96e-41d9-bc48-363d7d270776/,48.0,"Backed by the EU, SMV:Grøn is another of Denmark’s top grant funding programs for startups. SMV:Grøn aims to support companies and startups developing sustainable products, processes or services.

Who is it for?
The grant programs focuses both on startups and larger companies. As long as your business qualifies as a SME, you are eligible.

How much can you get?
The amount of funding depends whether you are a startup of a SME. In short, you can receive anywhere from DKK 140,000 to DKK 360,000 to be spent on employees salaries, equipment and material and consulting and subcontractor fees.",virksomhedsprogrammet.dk/content/ydelser/smvgroen/bab6c5de-d96e-41d9-bc48-363d7d270776/
EIC Accelerator,Europe,"Accelerator,Fund",https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator-0_en,2500000.0,The EIC Accelerator provides funding and support for startups with breakthrough innovations in healthcare and other sectors. The program offers grants of up to €2.5 million and equity financing of up to €15 million.,eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator-0_en
"EIT - European Institute of Innovation
  and Technology",Europe,"Grant,Award",https://eit.europa.eu/activities/eit-awards-our-prime-innovation-competition,50.0,"The Awards create role models for change and elevate innovations that most effectively address global challenges in climate, healthcare, digitalisation, and more.

Our Knowledge and Innovation Communities each get to select nominees to compete in four categories:

The Changemaker Award: Our award for the most promising innovator who just completed an EIT Community programme or course.
The Innovation Team Award: Our award for the best innovation team made up of people from
The Venture Award: Our award for the most promising venture to come out of our EIT Community acceleration or structured business support programmes. 
The Public Award: The public votes for their top innovation! 
The EIT Awards are held during INNOVEIT, our annual innovation forum.

If you’re a woman innovator, compete in the EIT and EIC’s European Women Innovators Prize!
The European Prize for Women Innovators celebrates the women entrepreneurs behind Europe's most ground-breaking innovations. The prize awards women from across the EU and countries associated to Horizon Europe, whose disruptive innovations are driving positive change for people and planet.

If you are a women innovator,  don’t hesitate to apply! You can compete in three different categories. ",eit.europa.eu/activities/eit-awards-our-prime-innovation-competition
ERC,Europe,Grant,https://erc.europa.eu/apply-grant/starting-grant,1500000.0,"The ERC funds scientific excellence at the frontier of knowledge. It is a scientific program dedicated to exploratory research, whose sole selection criterion is scientific excellence in order to mobilize the best researchers and their teams.
The project leader (or PI, ie Principal Investigator) submits his project in conjunction with a host institution (or HI, ieHost Institution) which supports him on the administrative aspects. He builds around him a team of his choice, selected to best meet the scientific and technical needs of the project. What proposals are eligible?

Criteria

Applications can be made in any field of research
The ERC's grants operate on a 'bottom-up' basis without predetermined priorities.

Location

Research must be conducted in a public or private research organisation (known as a Host Institution/HI). It could be the HI where the applicant already works, or any other HI located in one of the EU Member States or Associated Countries
 

Host Institution

Applications for an ERC grant must be submitted by a single Principal Investigator (PI) in conjunction with and on behalf of their Host Institution, called the applicant legal entity.

Grants are awarded to the Host Institution with the explicit commitment that this institution offers appropriate conditions for the Principal Investigator independently to direct the research and manage its funding for the duration of the project.

Any type of legal entity, including universities, research centres and undertakings can host the PI and his/her team. Legally the host institution must be based in one of the EU Member States, or one of the associated countries.

The PI does not necessarily need to be working at the host institution at the time when the proposal is submitted. However, a mutual agreement and the host institution’s commitment on how the relationship will be established are necessary, should the proposal be successful.",erc.europa.eu/apply-grant/starting-grant
ERDF,Europe,Government,https://commission.europa.eu/funding-tenders/find-funding/eu-funding-programmes/european-regional-development-fund-erdf_en,,"Research, technological development and innovation, improving the competitiveness of small and medium size businesses, promoting the development of information and communication technologies, supporting the transition towards a low-carbon emission economy, etc. These issues are supported by the European Regional Development Fund (ERDF)",commission.europa.eu/funding-tenders/find-funding/eu-funding-programmes/european-regional-development-fund-erdf_en
EU Startup Summit,Europe,Competition,https://www.eu-startups.com/eu-startups-summit-2023/,125.0,"The EU-Startups Summit 2023 will gather over 2,000 founders, startup enthusiasts, corporates, angel investors, VCs, and media from across Europe. The event is a great opportunity for networking, with a dedicated networking app (all participants get access about 8 days prior to the event), and a meeting point for aspiring entrepreneurs and investors who are aiming to build international tech companies. We’ll have fireside chats with internationally successful founders, insightful keynotes, and an exciting pitch competition on our main stage with some of Europe’s most promising startup teams – selected from over 1,300 applicants!",eu-startups.com/eu-startups-summit-2023/
Eurostars,Europe,Government,https://www.techfunding.eu/eurostars,1500000.0,"Eurostars provides co-financing for R&D activities and prioritises projects with explicit support of UN Sustainable Development Goals (SDG 17). The Eurostars programme aims at supporting all types of project partners, as well as the option to participate without receiving funding. For each country national rules apply, e.g. some countries only provide funding for SMEs.",techfunding.eu/eurostars
Innovative Medicine Initiatives,Europe,Grant,https://www.imi.europa.eu/apply-funding,,"IMI provides funding for collaborative research projects in the field of pharmaceuticals, including research on new drugs, diagnostics, and clinical trials. Eligibility criteria and funding amounts can vary by program.",imi.europa.eu/apply-funding
